feature,reference_mean,drifted_mean,ks_statistic,p_value,drift_detected
having_IP_Address,0.3138,0.3138,0.0,1.0,False
URL_Length,-0.6332,-0.7572,0.064,0.0,True
Shortining_Service,0.7388,0.7388,0.0,1.0,False
having_At_Symbol,0.7006,0.7006,0.0,1.0,False
double_slash_redirecting,0.7415,0.7415,0.0,1.0,False
Prefix_Suffix,-0.735,-0.8276,0.0463,0.0,True
having_Sub_Domain,0.064,-0.3063,0.2424,0.0,True
SSLfinal_State,0.2509,-0.1947,0.2411,0.0,True
Domain_registeration_length,-0.3368,-0.5647,0.114,0.0,True
Favicon,0.6286,0.6286,0.0,1.0,False
port,0.7283,0.7283,0.0,1.0,False
HTTPS_token,0.6751,0.6751,0.0,1.0,False
Request_URL,0.1868,0.1868,0.0,1.0,False
URL_of_Anchor,-0.0765,-0.0765,0.0,1.0,False
Links_in_tags,-0.1181,-0.1181,0.0,1.0,False
SFH,-0.5957,-0.5957,0.0,1.0,False
Submitting_to_email,0.6356,0.6356,0.0,1.0,False
Abnormal_URL,0.7053,0.7053,0.0,1.0,False
Redirect,0.1157,0.1157,0.0,1.0,False
on_mouseover,0.7621,0.7621,0.0,1.0,False
RightClick,0.9139,0.9139,0.0,1.0,False
popUpWidnow,0.6134,0.6134,0.0,1.0,False
Iframe,0.8169,0.8169,0.0,1.0,False
age_of_domain,0.0612,0.0612,0.0,1.0,False
DNSRecord,0.3771,0.3771,0.0,1.0,False
web_traffic,0.2873,-0.1637,0.2658,0.0,True
Page_Rank,-0.4837,-0.4837,0.0,1.0,False
Google_Index,0.7216,0.12,0.3008,0.0,True
Links_pointing_to_page,0.344,-0.1274,0.333,0.0,True
Statistical_report,0.7196,0.7196,0.0,1.0,False
